Neighborhood,Latitude,Longitude
Adams-Normandie,33.901238000000035,-118.29908299999994
Alsace,33.97902000000005,-118.41417999999999
Angelino Heights,34.07029000000006,-118.25479999999999
Angeles Mesa,18.05302000000006,-65.87515999999994
Angelus Vista,34.084375707919705,-118.26919066978292
Arleta,34.24905000000007,-118.43348999999995
Arlington Heights,34.03989000000007,-118.32515999999998
Arts District,34.04193300000003,-118.23644599999994
Atwater Village,34.11970000000008,-118.25886999999994
Baldwin Hills,34.021570000000054,-118.36764999999997
Baldwin Hills/Crenshaw,34.011716000000035,-118.34072499999996
Baldwin Village,34.07044548680411,-118.20070975126488
Baldwin Vista,34.07044548680411,-118.20070975126488
Beachwood Canyon,34.10915025473649,-118.32045034087673
"Bel Air, Bel-Air or Bel Air Estates",34.08361000000008,-118.43482999999998
Benedict Canyon,34.12306719490349,-118.43504285082464
Beverly Crest,34.09653268819107,-118.40329514585207
Beverly Glen,34.11793000000006,-118.44608999999997
Beverly Grove,34.09544836979449,-118.42608686997163
Beverly Hills Post Office,34.075496000000044,-118.35588099999995
Beverly Park,34.063720000000046,-118.26459999999997
Beverlywood,34.05138000000005,-118.40132999999997
Boyle Heights,34.04004000000003,-118.21049999999997
Brentwood,34.06626000000006,-118.47032999999999
Brentwood Circle,33.988175021479,-118.27720988461618
Brentwood Glen,33.988175021479,-118.27720988461618
Broadway-Manchester,34.398960047121605,-118.52778491029878
Brookside,34.16370000000006,-118.16599999999994
Bunker Hill,34.05202000000003,-118.25035999999994
Byzantine-Latino Quarter,34.053570000000036,-118.24544999999995
Cahuenga Pass,34.11213523320417,-118.33494911031171
Canoga Park,34.20239000000004,-118.60155999999995
Canterbury Knolls,34.23342860443346,-118.54953670196412
Carthay,34.05612000000008,-118.37340999999998
Carthay Circle,34.061120000000074,-118.36729999999994
Castle Heights,34.03717258039118,-118.39748476339359
Central-Alameda,33.997420000000034,-118.24777999999998
Central City,34.052230000000066,-118.24367999999998
Century City,34.05944000000005,-118.41280999999998
Chatsworth,34.257250000000056,-118.59100999999998
Chesterfield Square,33.98668200000003,-118.31235499999997
Cheviot Hills,34.03403000000003,-118.41055999999998
Chinatown,34.062290000000075,-118.23836999999997
Civic Center,34.01952447236139,-118.11646650198198
Country Club Park,34.050290000000075,-118.32118999999994
Crenshaw,34.010710000000074,-118.33511999999996
Crenshaw Manor,34.05880795329517,-118.32070140675803
Crestview,34.11886619125404,-118.38934389513764
Crestwood Hills,34.130130848949115,-118.19132942813891
Cypress Park,34.09448000000003,-118.22677999999996
Del Rey,33.99082000000004,-118.42061999999999
Downtown,34.04834000000005,-118.25563999999997
Eagle Rock,34.13927000000007,-118.21086999999994
East Gate Bel Air,34.08361000000008,-118.43482999999998
East Hollywood,34.09086000000008,-118.29334999999998
Echo Park,34.07609000000008,-118.25580999999994
Edendale,34.09068000000008,-118.25847999999996
El Sereno,34.076850000000036,-118.17933999999997
Elysian Heights,34.07172761959295,-117.72098705120547
Elysian Park,34.08250000000004,-118.23319999999995
Elysian Valley,34.07172761959295,-117.72098705120547
Encino,34.16538000000003,-118.52711
Exposition Park,34.01222000000007,-118.29009999999994
Faircrest Heights,34.090770061170105,-118.07836490593775
Fairfax,34.076100000000054,-118.36121999999995
Fashion District,34.03731000000005,-118.25276999999994
"Filipinotown, Historic",34.053570000000036,-118.24544999999995
Financial District,40.70903000000004,-74.01062999999994
Florence,33.97475000000003,-118.24538999999999
Flower District,34.03992200000005,-118.24921199999994
Franklin Hills,34.10343204058494,-118.34934124025101
Gallery Row,34.10080000000005,-118.42625999999996
Garvanza,34.11697000000004,-118.17998999999998
Glassell Park,34.11925000000008,-118.23038999999994
Gramercy Park,34.033900000000074,-118.31257999999997
Granada Hills,34.26442000000003,-118.49793999999997
Green Meadows,33.81234004339778,-118.30854020863124
Griffith Park,34.12327000000005,-118.29989999999998
Hancock Park,34.06892000000005,-118.33254999999997
Hansen Heights,34.04855459854427,-117.77161194562
Harbor City,33.79781000000003,-118.30247999999995
Harbor Gateway,33.85412579493096,-118.30347994263445
Harvard Heights,34.043390000000045,-118.30902999999995
Harvard Park,34.144400000000076,-118.25296999999995
Hermon,34.10287000000005,-118.18349999999998
Highland Park,34.10982000000007,-118.19231999999994
Historic Filipinotown ,34.053570000000036,-118.24544999999995
Historic Core,34.04383000000007,-118.25120999999996
Hollywood,34.10156000000006,-118.33707999999996
Hollywood Dell,34.07945757298284,-118.29188751465693
Hollywood Hills,34.10524000000004,-118.32064999999994
Hollywood Hills West,34.120060000000024,-118.35089999999997
Holmby Hills,34.05280934217487,-118.4238868843381
Hyde Park,33.989040000000045,-118.32669999999996
L.A. Downtown Industrial District,47.58616000000006,-122.32737999999995
Jefferson Park,34.03264000000007,-118.31801999999999
Jewelry District,34.04792700000007,-118.25831099999999
Kinney Heights,34.11429431344538,-118.22903388274662
Koreatown,34.05779000000007,-118.30090999999999
La Cienega Heights,34.028863879983234,-118.37441496528983
Ladera,34.08196322090716,-118.42382292464866
Lafayette Square,34.043060000000025,-118.33193999999997
Lake Balboa,34.207160000000044,-118.50113999999996
Lake View Terrace,34.27453000000003,-118.37349999999998
Larchmont,34.08133000000004,-118.32365999999996
Laurel Canyon,34.10632788028417,-118.36717846853657
Leimert Park,34.008380000000045,-118.33044999999998
Lincoln Heights,34.07003000000003,-118.21164999999996
Little Armenia,34.10124100000007,-118.30113099999994
Little Bangladesh,34.053570000000036,-118.24544999999995
Little Ethiopia,34.05472000000003,-118.36527999999998
Little Italy,33.73800700000004,-118.28013999999996
Little Tokyo,34.04988000000003,-118.24014999999997
Los Feliz,34.10541000000006,-118.28923999999995
Manchester Square,33.960010024700324,-118.2998799152206
Mandeville Canyon,34.06909582396699,-118.49548003529704
Marina Peninsula,33.75124100000005,-118.12767499999995
Mar Vista,34.004680000000064,-118.42912999999999
Melrose Hill,34.08534321390946,-118.30602316119874
Mid-City,34.04021000000006,-118.34760999999997
Mid-City Heights,33.91606504745597,-118.3766899157207
Mid-City West,34.04021000000006,-118.34760999999997
Mid-Wilshire,34.05291112354909,-118.45803782268644
Miracle Mile,33.90479000000005,-118.39405999999997
Mission Hills,34.27397000000008,-118.46782999999999
Montecito Heights,34.091980000000035,-118.20100999999994
Monterey Hills,34.09133000000003,-118.18811999999997
Mount Olympus,34.10842687537448,-118.36594414337749
Mount Washington,34.09904000000006,-118.21133999999995
Naud Junction,34.06107000000003,-118.23543999999998
Nichols Canyon,34.12174638408209,-118.36060930188036
NoHo Arts District,34.04193300000003,-118.23644599999994
North Hills,34.23563000000007,-118.48482999999999
North Hollywood,34.16982000000007,-118.37898999999999
Northridge,34.23512000000005,-118.53384999999997
North University Park,34.02398076763396,-118.28448948194111
Oakwood,34.326259585673554,-118.46678615567251
Old Bank District,34.04792700000007,-118.25831099999999
Outpost Estates,34.11083000000008,-118.34388999999999
Pacific Palisades,34.04710000000006,-118.52687999999995
Pacoima,34.26108000000005,-118.42897999999997
Palms,34.01988000000006,-118.42092999999994
Panorama City,34.222830000000044,-118.44874999999996
Park La Brea,34.06257000000005,-118.35773999999998
Picfair Village,34.04500000000007,-118.36527999999998
Pico-Robertson,34.055750000000046,-118.37999999999994
Pico-Union,34.040050000000065,-118.28526
Playa del Rey,33.959250000000054,-118.44798999999995
Playa Vista,33.97395000000006,-118.43037999999996
Porter Ranch,34.28027000000003,-118.56129999999996
Rancho Park,34.04507000000007,-118.41923999999995
Reseda,34.19384000000008,-118.54702999999995
Reynier Village,33.994052635214935,-118.37594464154483
Rose Hills,34.08195000000006,-118.19673999999998
Rustic Canyon,34.02509200000003,-118.491312
San Pedro,33.737880000000075,-118.28372999999999
Sawtelle,34.03057000000007,-118.46340999999995
Shadow Hills,34.26273000000003,-118.35077999999999
Sherman Oaks,34.15106000000003,-118.44433999999995
Sherman Village,34.20098267986908,-118.39358044459378
Silver Lake,34.082730000000026,-118.27306999999996
Skid Row,34.053570000000036,-118.24544999999995
Solano Canyon,34.08336784653967,-118.23458011578465
Sonoratown,34.04162100000008,-118.25224399999996
"South Central, Historic",34.04485470211122,-118.23964270875767
South Carthay,34.05612000000008,-118.37340999999998
South Park,33.99740000000003,-118.26956999999999
South Robertson,34.046640000000025,-118.38613999999995
Spaulding Square,34.184015046534334,-118.1626252136079
Studio City,34.14453000000003,-118.39560999999998
Sunland,34.259690000000035,-118.31428999999997
Sunset Junction,34.06078003070354,-118.2850799049647
Sun Valley,34.21560000000005,-118.37034999999997
Sylmar,34.310200000000066,-118.45307999999994
Tarzana,34.175290000000075,-118.55009999999999
Terminal Island,33.74854000000005,-118.26271999999994
Thai Town,33.90250506665732,-118.26755837522533
Toluca Lake,34.152190000000076,-118.34939999999995
Toy District,34.04792700000007,-118.25831099999999
Tujunga,34.25183000000004,-118.29096999999996
University Hills,34.069210000000055,-118.16954999999996
University Park,34.02819000000005,-118.28396999999995
"University Park, North",34.02398076763396,-118.28448948194111
Valley Glen,34.187110000000075,-118.41380999999996
Valley Village,34.16488000000004,-118.39802999999995
Van Nuys,34.184390000000064,-118.44651999999996
Venice,33.987540000000024,-118.47214999999994
Vermont Knolls,34.092412551644095,-118.2910049644989
Vermont-Slauson,33.988440000000026,-118.29072099999996
Vermont Square,34.00058000000007,-118.29673999999994
Vermont Vista,34.092412551644095,-118.2910049644989
Victor Heights,34.06445928015104,-118.25167893076738
Victoria Park,34.04612721894374,-118.33103419138347
Village Green,34.01880746108455,-118.36410779826909
Warehouse District,41.500230000000045,-81.69996999999995
Warner Center,34.18454000000003,-118.58869999999996
Watts,33.94128000000006,-118.23902999999996
Wellington Square,34.025385130382894,-118.33842988048607
West Adams,34.02851000000004,-118.35278999999997
West Adams Heights,34.03264005390585,-118.3176248600212
Westchester,33.959730000000036,-118.41368999999997
Westdale,34.12945302958531,-118.21622710933
Western Heights,34.14001989057325,-118.34843369250362
West Hills,34.200360000000046,-118.62932999999998
Westlake,34.053710000000024,-118.27129999999994
West Los Angeles,34.046470000000056,-118.43394999999998
Westside Village,34.012663711787354,-118.13747593857128
Westwood,34.06208000000004,-118.44545
Westwood Village,34.059750000000065,-118.44326999999998
Whitley Heights,34.10959583955832,-118.3317332593226
Wholesale District,34.03007100000008,-118.25251699999995
Wilmington,33.78989000000007,-118.26322999999996
Wilshire Center,34.06242000000003,-118.29292999999996
Wilshire Park,34.05964000000006,-118.27932999999996
Wilshire Vista,34.05260000000004,-118.36018999999999
Windsor Square,34.06896000000006,-118.31870999999995
Winnetka,34.20329000000004,-118.57097999999996
Woodland Hills,34.16889000000003,-118.61147999999997
Yucca Corridor,34.103920051876415,-118.3297707065082
